SIGNAL_NAME,Lat,Lng
UP MID A:DJA49,2114.19640,7935.14860
UP MID A:DJA47,2114.33170,7934.34800
UP MID KT HOME,2114.46350,7933.55830
UP MID KT STR,2114.59210,7932.77420
UP MID L XING,2114.61160,7932.65310
UP MID A:DJA45,2114.68650,7931.97680
UP MID A:DJA45X,2114.71380,7931.37840
UP MID A:DJA43,2114.74160,7930.75330
UP MID A:DJA41,2114.79420,7930.02600
UP MID A:DJA39,2115.07450,7929.31090
UP MID RRL HOME,2115.37440,7928.68040
UP MID RRL STR,2115.69740,7927.85180
UP MID A:DJA37,2115.70200,7927.07800
UP MID DJ OPEN,2115.68100,7926.40090
UP MID A:DJA35,2115.67850,7926.31740
UP MID TAR HOME,2115.59510,7925.51760
UP MID TAR STR,2115.39740,7924.83660
UP MID TAR ADV STR,2115.35040,7924.71580
UP MID L XING,2115.31150,7924.63500
UP MID SA G:DJA33,2115.08710,7924.00490
UP MID L XING,2115.01590,7923.79780
UP MID A:DJA31,2114.88490,7923.27970
UP MID A:DJA29,2114.75650,7922.64540
UP MID CHCR HOME,2114.62020,7921.96820
UP MID L XING,2114.55440,7921.64730
UP MID CHCR STR,2114.45350,7921.11620
UP MID CHCR ADV STR,2114.39660,7920.80720
UP MID A:DJA23,2114.27720,7920.17610
UP MID SA G:DJA21,2114.17480,7919.62530
UP MID L XING,2114.14270,7919.48900
UP MID A:DJA19,2114.12110,7918.91810
UP MID SAL HOME,2114.14030,7918.21490
UP MID L XING,2114.14860,7917.94950
UP MID SAL STR,2114.16960,7917.37280
UP MID SAL ADV STR,2114.17540,7917.19370
UP MID L XING,2114.17880,7917.09570
UP MID A:DJA17,2114.10080,7916.48970
UP MID A:DJA13,2113.90250,7915.76610
UP MID DJ OPEN,2113.81090,7915.43100
UP MID KNHN HOME,2113.71170,7915.06810
UP MID KNHN STR,2113.46130,7914.09800
UP MID KNHN ADV STR,2113.43510,7913.90650
UP MID A:DJA11,2113.20450,7913.20960
UP MID A:DJA9,2112.94250,7912.54040
UP MID KP HOME,2112.83620,7912.28470
UP MID KP STR,2112.62740,7911.70410
UP MID L XING,2112.58990,7911.60620
UP MID KP ADV STR,2112.58310,7911.59100
UP MID A:DJA5,2112.17610,7911.04050
UP MID A:DJA3,2111.75770,7910.54470
UP MID A:DJA3X,2111.29880,7910.10510
UP MID A:DJA1,2110.82950,7909.72150
UP MID KAV HOME,2110.38700,7909.33350
UP MID L XING,2110.21190,7909.04040
UP MID KAV INT HOME,2110.16730,7908.89570
UP MID KAV STR,2110.09800,7908.31060
UP MID RIG STR,2153.51060,8323.18020
UP MID RIG ADV STR,2153.60670,8322.92270
UP MID NEU SEC AHEAD,2153.71940,8322.75640
UP MID GATE INNR DIST,2153.76730,8322.68010
UP MID GATE SIG,2154.15460,8322.09930
UP MID L XING:289,2154.15460,8322.09930
UP MID JSPL HOME,2154.46970,8321.63180
UP MID JSPL STR,2154.63920,8321.37830
UP MID KDTR INNR DIST,2154.99600,8320.84040
UP MID KDTR HOME,2155.31160,8320.36380
UP MID KDTR STR,2155.69570,8319.78110
UP MID GATE DIST,2156.95180,8317.89970
UP MID GATE INNR DIST,2157.27010,8317.41810
UP MID GATE SIG,2157.58380,8316.94450
